,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1996-97,1997-98,1998-99,1999-00,2000-01,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
0,David Robinson,Kendall Gill,Larry Johnson,Shaquille O'Neal,Chris Webber,Jason Kidd,Shareef Abdur-Rahim,Tim Duncan,Vince Carter,Elton Brand,Mike Miller,Yao Ming,Carmelo Anthony,Emeka Okafor,Chris Paul,Brandon Roy,Al Horford,Derrick Rose,Tyreke Evans,Blake Griffin,Kyrie Irving,Damian Lillard,Michael Carter-Williams,Andrew Wiggins,Karl-Anthony Towns,Malcolm Brogdon,Ben Simmons,Luka Doncic,Ja Morant,LaMelo Ball,Scottie Barnes,Paolo Banchero,Victor Wembanyama
1,Tim Hardaway,Dennis Scott,Dikembe Mutombo,Alonzo Mourning,Anfernee Hardaway,Grant Hill,Allen Iverson,Keith Van Horn,Paul Pierce,Steve Francis,Kenyon Martin,Amar'e Stoudemire,LeBron James,Dwight Howard,Charlie Villanueva,Andrea Bargnani,Kevin Durant,O.J. Mayo,Brandon Jennings,John Wall,Ricky Rubio,Bradley Beal,Victor Oladipo,Nikola Mirotic,Kristaps Porzingis,Dario Saric,Donovan Mitchell,Trae Young,Kendrick Nunn,Anthony Edwards,Evan Mobley,Walker Kessler,Chet Holmgren
2,Vlade Divac,Dee Brown,Billy Owens,Christian Laettner,Vin Baker,Glenn Robinson,Stephon Marbury,Brevin Knight,Jason Williams,Lamar Odom,Marc Jackson,Caron Butler,Dwyane Wade,Ben Gordon,Andrew Bogut,Randy Foye,Luis Scola,Russell Westbrook,Stephen Curry,Landry Fields,Kenneth Faried,Anthony Davis,Trey Burke,Nerlens Noel,Devin Booker,Joel Embiid,Jayson Tatum,Deandre Ayton,Brandon Clarke,Tyrese Haliburton,Cade Cunningham,Bennedict Mathurin,Brandon Miller
3,Sherman Douglas,Lionel Simmons,Steven Smith,Tom Gugliotta,Jamal Mashburn,Eddie Jones,Marcus Camby,Zydrunas Ilgauskas,Mike Bibby,Wally Szczerbiak,Morris Peterson,Drew Gooden,Chris Bosh,Andre Iguodala,Deron Williams,Rudy Gay,Al Thornton,Brook Lopez,Darren Collison,DeMarcus Cousins,Klay Thompson,Dion Waiters,Mason Plumlee,Elfrid Payton,Nikola Jokic,Buddy Hield,Kyle Kuzma,Jaren Jackson Jr.,Zion Williamson,Saddiq Bey,Franz Wagner,Keegan Murray,Jaime Jaquez Jr.
4,Pooh Richardson,Derrick Coleman,Stacey Augmon,LaPhonso Ellis,Isaiah Rider,Brian Grant,Antoine Walker,Ron Mercer,Matt Harpring,Andre Miller,Darius Miles,Nene,Kirk Hinrich,Luol Deng,Channing Frye,Jorge Garbajosa,Jeff Green,Michael Beasley,Taj Gibson,Gary Neal,Kawhi Leonard,Harrison Barnes,Tim Hardaway Jr.,Jordan Clarkson,Jahlil Okafor,Willy Hernangomez,Lauri Markkanen,Marvin Bagley III,Eric Paschall,Jae'Sean Tate,Jalen Green,Jalen Williams,Brandin Podziemski
5,J.R. Reid,Mahmoud Abdul-Rauf,Rick Fox,Walt Williams,Dino Radja,Brian Grant,Kerry Kittles,Tim Thomas,Michael Dickerson,Shawn Marion,Hedo Turkoglu,Manu Ginobili,Josh Howard,Nenad Krstic,Danny Granger,LaMarcus Aldridge,Jamario Moon,Michael Beasley,Marcus Thornton,Greg Monroe,Iman Shumpert,Andre Drummond,Kelly Olynyk,Marcus Smart,Justise Winslow,Jamal Murray,Dennis Smith Jr.,Shai Gilgeous-Alexander,Tyler Herro,Immanuel Quickley,Herbert Jones,Jalen Duren,Dereck Lively II
6,Sean Elliott,Gary Payton,Terrell Brandon,Robert Horry,Nick Van Exel,Juwan Howard,Ray Allen,Cedric Henderson,Michael Doleac,Metta World Peace,Desmond Mason,Gordan Giricek,T.J. Ford,Josh Smith,Raymond Felton,Marcus Williams,Juan Carlos Navarro,Eric Gordon,DeJuan Blair,Wesley Johnson,Brandon Knight,Jonas Valanciunas,Giannis Antetokounmpo,Zach LaVine,D'Angelo Russell,Jaylen Brown,Lonzo Ball,Collin Sexton,Terence Davis,Desmond Bane,Chris Duarte,Tari Eason,GG Jackson
7,Stacey King,Felton Spencer,Larry Stewart,Latrell Sprewell,Shawn Bradley,Eric Montross,Travis Knight,Derek Anderson,Cuttino Mobley,James Posey,Courtney Alexander,Carlos Boozer,Udonis Haslem,Josh Childress,Luther Head,Paul Millsap,Thaddeus Young,Kevin Love,James Harden,Eric Bledsoe,Isaiah Thomas,Michael Kidd-Gilchrist,Gorgui Dieng,Bojan Bogdanovic,Emmanuel Mudiay,Marquese Chriss,John Collins,Landry Shamet,Coby White,Isaiah Stewart,Bones Hyland,Jaden Ivey,Keyonte George
8,Blue Edwards,Travis Mays,Stanley Roberts,Clar. Weatherspoon,Toni Kukoc,Wesley Person,Kobe Bryant,Maurice Taylor,Michael Olowokandi,Jason Terry,Marcus Fizer,Jay Williams,Jarvis Hayes,Jameer Nelson,Marvin Williams,Adam Morrison,Rodney Stuckey,Mario Chalmers,Jonny Flynn,Derrick Favors,MarShon Brooks,Kyle Singler,Cody Zeller,Jusuf Nurkic,Myles Turner,Brandon Ingram,Bogdan Bogdanovic,Mitchell Robinson,P.J. Washington,Isaac Okoro,Ayo Dosunmu,Jabari Smith Jr.,Amen Thompson
9,Glen Rice,Willie Burton,Mark Macon,Richard Dumas,Lindsey Hunter,Jalen Rose,Matt Maloney,Bobby Jackson,Antawn Jamison,Chucky Atkins,Chris Mihm,J.R. Bremer,Marquis Daniels,Al Jefferson,Ryan Gomes,Tyrus Thomas,Carl Landry,Marc Gasol,Jonas Jerebko,Paul George,Chandler Parsons,Tyler Zeller,Steven Adams,Langston Galloway,Willie Cauley-Stein,Yogi Ferrell,Josh Jackson,Kevin Huerter,Rui Hachimura,Patrick Williams,Josh Giddey,Jeremy Sochan,Cason Wallace
